,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Package","CPU Core #1","CPU Core #2","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space","Used Space"
02/02/2021 19:26:32,21.875,35.15625,28.515625,53,53,56,2494.34277,2494.34277,9.559361,6.60354757,0.02490327,99.77371,51.9662666,4.09579468,3.78584671,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:33,23.4375,29.6875,26.5625,53,54,55,2494.342,2494.342,9.50145149,6.58945227,0.0129246535,99.77368,51.9605064,4.09534073,3.78630066,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:34,17.1875,37.5,27.34375,53,52,55,2494.34253,2494.34253,9.552922,6.61941671,0.0131229851,99.7737,51.95141,4.09462357,3.78701782,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:35,24.21875,31.25,27.734375,52,53,56,2494.342,2494.342,9.410244,6.49726868,0.0207832027,99.773674,51.96699,4.095852,3.78578949,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:36,19.53125,37.5,28.515625,55,50,58,2494.34229,2494.34229,9.602292,6.644608,0.02226324,99.77369,51.96796,4.095928,3.7857132,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:37,25,31.25,28.125,52,54,56,2494.34229,2494.34229,9.458994,6.53181934,0.0205238536,99.77369,51.96907,4.096016,3.78562546,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:38,22.65625,33.59375,28.125,53,53,56,2494.342,2494.342,9.570781,6.617182,0.0218360126,99.77368,51.9702339,4.09610748,3.785534,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:39,28.125,26.5625,27.34375,57,50,58,2494.34253,2494.34253,9.459007,6.5267005,0.0202033371,99.7737045,51.9698448,4.096077,3.78556442,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:40,15.625,41.40625,28.515625,57,50,57,2494.34253,2494.34253,9.500043,6.558553,0.0218665749,99.7737,51.9619064,4.09545135,3.78619,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:41,24.21875,30.46875,27.34375,57,50,58,2494.342,2494.342,9.488004,6.559418,0.0208441373,99.77368,51.95717,4.09507751,3.78656387,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:42,23.4375,32.8125,28.125,57,50,57,2494.3418,2494.3418,9.563915,6.61351061,0.0219123811,99.773674,51.9569244,4.09505844,3.786583,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:43,23.4375,39.0625,31.25,57,55,59,2494.34253,2494.34253,9.605793,6.68522358,0.0143590057,99.7737,51.73738,4.077755,3.80388641,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:44,15.625,39.84375,27.734375,53,54,55,2494.34229,2494.34229,9.522781,6.59469366,0.0208746921,99.77369,51.6907272,4.07407761,3.80756378,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:45,25,28.90625,26.953125,54,53,57,2494.34229,2494.34229,9.45573,6.53826332,0.0202948358,99.7737,51.68879,4.073925,3.80771637,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:46,14.84375,42.1875,28.515625,53,52,56,2494.3418,2494.3418,9.523458,6.58304453,0.0220649969,99.773674,51.68656,4.07374954,3.80789185,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:47,14.0625,40.625,27.34375,52,53,56,2494.34229,2494.34229,9.401055,6.47712946,0.0203406457,99.77369,51.684967,4.07362366,3.80801773,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:48,19.53125,34.375,26.953125,56,51,58,2494.34229,2494.34229,9.547081,6.61329937,0.0221564863,99.77369,51.6820145,4.073391,3.80825043,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:49,26.5625,28.90625,27.734375,57,50,58,2494.342,2494.342,9.38540649,6.463954,0.0204168223,99.77368,51.6820641,4.073395,3.80824661,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:50,22.65625,32.03125,27.34375,53,53,57,2494.341,2494.341,9.42021,6.451213,0.021927692,99.77364,51.6820145,4.073391,3.80825043,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:51,25,28.125,26.5625,56,50,58,2494.34375,2494.34375,9.213273,6.30712461,0.00518816058,99.77375,51.75989,4.079529,3.80211258,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:52,22.65625,32.8125,27.734375,53,53,56,2494.342,2494.342,9.398458,6.4490757,0.0138554592,99.77369,51.7590675,4.079464,3.80217743,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:53,16.40625,35.9375,26.171875,56,50,59,2494.34229,2494.34229,9.20054,6.286626,0.00538650062,99.77369,51.7584839,4.079418,3.80222321,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:54,14.84375,40.625,27.734375,54,51,58,2494.34155,2494.34155,9.349779,6.41274834,0.00697353,99.77366,51.7177773,4.07621,3.80543137,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
